Qty;Value;Device;Package;Parts;OC_MOUSER
;;LED3MM;LED3MM;LED301;
1;;LEDCHIP-LED0603;CHIP-LED0603;LED300;720-LSL29K-G1J2-1-Z
1;;R;R0603;RT301;594-NTCS0603E3103FLT
2;1.0µH;XAL7030-102ME;XAL7030;L330, L340;994-XAL7030-102ME
4;100K;R;R0603;R320, R322, R323, R333;603-RT0603FRE07100KL
10;100nF;C0603;C0603;C100, C101, C102, C103, C104, C120, C121, C140, C141, C211;80-C0603C104M5RAUTO
;103AT-2;103AT-2;AT-2;RT300;
8;10K;R;R0603;R101, R102, R103, R302, R310, R334, R350, R351;603-RT0603FRE0710KL
1;10R;R;R0603;R100;603-RT0603FRE0710RL 
3;10µF;C0603;C0603;C210, C330, C340;81-GRM188R61A106KE9J
4;10µF;C0805;C0805;C300, C303, C304, C305;81-GRJ21BR61E106KE1K
4;1K;R;R0603;R140, R200, R201, R321;603-RT0603FRE071KL
5;1M;R;R0603;R210, R330, R331, R340, R341;603-RC0603FR-071ML
4;1µF;C0603;C0603;C331, C341, C350, C351;810-CGA3E1X7R1V105KA
1;1µF;C0805;C0805;C306;603-CC805KKX7R9BB105
1;1µH;78438357010;4030;L300;710-78438357010 
2;220pF;C0603;C0603;C212, C213;80-C0603C221JDGAUTO
6;22µF;C0805;C0805;C332, C333, C334, C342, C343, C344;81-GRM219R61C226ME1K
1;294K;R;R0603;R342;603-RT0603DRE07294KL
1;30K1;R;R0603;R304;603-RT0603FRE0730K1L 
1;324K;R;R0603;R332;603-RT0603FRE07324KL
1;4,7µF;C0603;C0603;C302;81-GRT188C81E475KE3D
1;47nF;C0402;C0402;C301;810-A2B1X8473K5BE
2;5K23;R;R0603;R300, R303;603-RT0603FRE075K23L
1;74LVC2T45DCT;74LVC2T45DCT;DCT(R-PDSO-G8);U120;595-SN74LVC2T45DCTR
1;8Mhz;CSTNE8M00GH5C000R0;CSTNE;Y100;81-CSTNE8M00GH5C000R
1;?;R;R0603;R301;
1;ATMEGA328P-AU;ATMEGA328P-AU;PBS(S-PQFP-G32);U100;556-ATMEGA328P-AU
2;BAT54A;BAT54A;SOT23;D320, D321;755-BAT54AHMFHT116
2;BLM18SG331TN1;BLM18SG331TN1;603;FB210, FB211;
1;BQ25892;BQ25892;RTW(S-PWQFN-N24)_LONG;U300;595-BQ25892RTWR
1;BSS138;BSS138;SOT23-3;Q320;512-BSS138
1;BZX585-B9V1;BZX585-B9V1;SOD523(SC-79);D310;771-BZX585-B9V1115
1;CSD25402Q3A;CSD25402Q3A;Q3A;Q310;595-CSD25402Q3A
1;DRV8835;DRV8835;DSS(WSON-12);U140;595-DRV8835DSSR
1;LP5907MFX-3.3/NOPB;LP5907MFX-3.3/NOPB;DBV(R-PDSO-G5);U350;595-LP5907MFX-3.3NPB
3;M02_2X01L;M02_2X01L;M2X01L;X210, X320, X340;
1;M04_2X03R;M04_2X03R;M2X02R;X140;
1;M06_2X03R;M06_2X03R;M2X03R;X120;
1;MAX98357A;MAX98357A;90-0031;U210;700-MAX98357AETE+T
1;NRF24L01+_MINI;NRF24L01+_MINI;NRF24L01+_MINI;U110;
1;RASPBERRY_PI_ZERO_W_V1.1_GPIO_DUAL;RASPBERRY_PI_ZERO_W_V1.1_GPIO_DUAL;RASPBERRY_PI_ZERO_W_V1.1_GPIO_DUAL;U200;
1;R_SWITCH_2_WAY_0603;R_SWITCH_2_WAY_0603;R0603_SWITCH_2_WAY;R211;
2;TPS61236P;TPS61236P;RWL(S-PQFP-N9)_LONG;U330, U340;595-TPS61236PRWLR
;;;;;
1;;;;XU200;855-M20-7812045
